State,Year,age_adjusted_rate,total_cases,Abbrev
Alabama,1999,49.7,2250.0,AL
Alabama,2000,50.5,2305.0,AL
Alabama,2001,50.6,2337.0,AL
Alabama,2002,50.4,2356.0,AL
Alabama,2003,50.1,2376.0,AL
Alabama,2004,51.4,2471.0,AL
Alabama,2005,50.7,2476.0,AL
Alabama,2006,49.9,2501.0,AL
Alabama,2007,49.7,2528.0,AL
Alabama,2008,50.6,2632.0,AL
Alabama,2009,46.8,2477.0,AL
Alabama,2010,44.2,2379.0,AL
Alabama,2011,42.1,2311.0,AL
Alabama,2012,44.2,2441.0,AL
Alabama,2013,44.5,2517.0,AL
Alabama,2014,44.6,2543.0,AL
Alabama,2015,43.1,2509.0,AL
Alabama,2016,43.9,2576.0,AL
Alabama,2017,42.4,2548.0,AL
Alabama,2018,40.8,2476.0,AL
Alabama,2019,41.9,2573.0,AL
Alabama,2020,37.4,2314.0,AL
Alabama,2021,40.0,2530.0,AL
Alabama,2022,40.9,2568.0,AL
Alaska,1999,62.0,209.0,AK
Alaska,2000,66.6,232.0,AK
Alaska,2001,64.0,239.0,AK
Alaska,2002,55.4,215.0,AK
Alaska,2003,53.8,226.0,AK
Alaska,2004,55.4,248.0,AK
Alaska,2005,55.3,241.0,AK
Alaska,2006,53.9,255.0,AK
Alaska,2007,42.1,210.0,AK
Alaska,2008,48.2,247.0,AK
Alaska,2009,52.0,290.0,AK
Alaska,2010,49.7,284.0,AK
Alaska,2011,42.0,266.0,AK
Alaska,2012,41.6,252.0,AK
Alaska,2013,45.3,285.0,AK
Alaska,2014,44.9,277.0,AK
Alaska,2015,43.5,301.0,AK
Alaska,2016,40.2,277.0,AK
Alaska,2017,44.9,318.0,AK
Alaska,2018,42.0,301.0,AK
Alaska,2019,41.5,294.0,AK
Alaska,2020,42.1,309.0,AK
Alaska,2021,39.8,292.0,AK
Alaska,2022,40.8,306.0,AK
Arizona,1999,46.8,2344.0,AZ
Arizona,2000,48.7,2509.0,AZ
Arizona,2001,47.1,2487.0,AZ
Arizona,2002,45.0,2440.0,AZ
Arizona,2003,45.3,2532.0,AZ
Arizona,2004,42.2,2428.0,AZ
Arizona,2005,42.9,2574.0,AZ
Arizona,2006,38.0,2358.0,AZ
Arizona,2007,39.0,2499.0,AZ
Arizona,2008,39.1,2557.0,AZ
Arizona,2009,38.3,2598.0,AZ
Arizona,2010,36.6,2550.0,AZ
Arizona,2011,35.5,2522.0,AZ
Arizona,2012,35.8,2609.0,AZ
Arizona,2013,34.1,2557.0,AZ
Arizona,2014,35.5,2731.0,AZ
Arizona,2015,33.9,2676.0,AZ
Arizona,2016,32.6,2636.0,AZ
Arizona,2017,33.3,2759.0,AZ
Arizona,2018,34.4,2912.0,AZ
Arizona,2019,32.8,2886.0,AZ
Arizona,2020,30.5,2723.0,AZ
Arizona,2021,30.8,2806.0,AZ
Arizona,2022,31.9,2945.0,AZ
Arkansas,1999,50.2,1437.0,AR
Arkansas,2000,50.2,1452.0,AR
Arkansas,2001,51.3,1499.0,AR
Arkansas,2002,49.9,1466.0,AR
Arkansas,2003,50.8,1517.0,AR
Arkansas,2004,51.3,1547.0,AR
Arkansas,2005,50.5,1543.0,AR
Arkansas,2006,47.6,1484.0,AR
Arkansas,2007,46.7,1484.0,AR
Arkansas,2008,47.5,1534.0,AR
Arkansas,2009,44.6,1468.0,AR
Arkansas,2010,43.4,1442.0,AR
Arkansas,2011,42.3,1433.0,AR
Arkansas,2012,42.7,1451.0,AR
Arkansas,2013,44.3,1533.0,AR
Arkansas,2014,45.7,1589.0,AR
Arkansas,2015,46.3,1605.0,AR
Arkansas,2016,43.4,1529.0,AR
Arkansas,2017,44.0,1585.0,AR
Arkansas,2018,43.8,1613.0,AR
Arkansas,2019,47.7,1746.0,AR
Arkansas,2020,38.5,1401.0,AR
Arkansas,2021,39.9,1477.0,AR
Arkansas,2022,41.5,1541.0,AR
California,1999,50.8,14567.0,CA
California,2000,49.5,14523.0,CA
California,2001,48.7,14593.0,CA
California,2002,47.5,14546.0,CA
California,2003,47.2,14767.0,CA
California,2004,44.8,14315.0,CA
California,2005,44.9,14675.0,CA
California,2006,44.3,14710.0,CA
California,2007,44.5,15110.0,CA
California,2008,44.3,15402.0,CA
California,2009,42.1,15043.0,CA
